"participant_id","time_point","consent","attention_check_flag","occupational_status","occupational_status_other","automaticity","pa_specific_self_control","action_planning","intention","perceived_behavioral_control","attitude","subjective_norm","intrinsic_motivation","motivational_competence","workload_hours_per_week","holiday_weeks","stress_weeks","care_work_hours_per_week","social_hours_per_week","pa_mvpa_hours_per_week","pa_total_hours_per_week","wake_time_minutes","work_start_time_minutes","work_end_time_minutes","bed_time_minutes","break_duration_minutes","leisure_duration_minutes","workplace_distance_km","indoor_activity_distance_km","outdoor_activity_distance_km","residential_sealing","residential_nature_access","residential_active_routes","residence_size_ordinal","age_years","income_ordinal","household_size","household_minors","normal_weeks_raw","phase_weeks_compatible"
"7365",1,"Ja",0,"Studium",,0.0416666666666667,0.583333333333333,0,0.333333333333333,0.125,0.833333333333333,0.555555555555555,0.5,0.5,40,9,10,0,9,1.41666666666667,1.75,390,495,960,1350,60,60,18,15,1,4,1,1,1,19.0311916055771,1,5,2,33,TRUE
"7382",1,"Ja",0,"Angestellt",,0.291666666666667,0.25,0.35,0.666666666666667,0.833333333333333,0.933333333333333,0.5,1,0.6875,28,5,20,0,26,5,8.5,360,510,1110,1350,30,120,125,10,1,3,2,2,4,35.4586336475082,8,4,0,27,TRUE
"7383",1,"Ja",0,"Angestellt",,0.0416666666666667,0.75,1,0.388888888888889,0.666666666666667,0.766666666666667,0.388888888888889,0.5,0.8125,32,7,16,15,25,3,4,360,450,960,1320,45,360,10,10,0.5,5,2,3,3,50.8401952127696,6,3,0,29,TRUE
"7388",1,"Ja",0,"Angestellt",,0.166666666666667,0.166666666666667,0.4,0.5,0.666666666666667,0.733333333333333,0.833333333333333,0.25,0,35.2,5,30,0,10,0,4,390,510,1020,1320,120,300,15,1,1,1,1,1,3,34.5742896842509,10,1,0,17,TRUE
"7417",1,"Ja",0,"Sonstiges","Rentner",0.708333333333333,1,0.9,0.333333333333333,1,0.333333333333333,0.833333333333333,0.583333333333333,0.875,0,52,0,8,16,1.5,4,480,510,990,1320,120,120,0,1,1,4,1,1,2,74.5970143124089,3,2,0,0,TRUE
"7445",1,"Ja",0,,,0.208333333333333,0.416666666666667,0.5,0.666666666666667,0.541666666666667,0.833333333333333,0.416666666666667,0.75,0.75,30,10,8,14,12,2,8.66666666666667,390,495,1020,1320,60,60,30,1,0.5,3,1,1,3,56.7896671389556,10,2,0,34,TRUE
"7448",1,"Ja",0,"Ausbildung/Lehre",,0.166666666666667,0.0833333333333333,0.2,0.666666666666667,0.75,0.7,0.722222222222222,0.666666666666667,0.625,40,15,12,0,30,0.666666666666667,1.66666666666667,420,495,1020,1440,75,120,11,10,0.5,4,2,1,1,21.7033888443979,1,6,1,25,TRUE
"7451",1,"Ja",0,"Angestellt",,0,0.25,0.6,0.666666666666667,0.666666666666667,0.666666666666667,0.444444444444444,0.666666666666667,0.25,36,4,30,0,3,4,4,480,540,1020,1500,60,240,3,6,7,2,3,3,3,35.9268157457032,7,1,0,18,TRUE
"7457",1,"Ja",0,"Angestellt",,0.458333333333333,0.833333333333333,0.85,0.5,0.458333333333333,0.8,1,0.0833333333333333,0.5,40,6,49,25,30,1.66666666666667,15.6666666666667,360,480,1140,1410,90,30,25,10,3,5,1,1,2,54.4104259498826,10,5,0,-3,FALSE
"7463",1,"Ja",0,"Studium",,0.166666666666667,0.583333333333333,0.4,0.611111111111111,0.583333333333333,0.9,0.555555555555555,0.916666666666667,0.9375,40,12,35,0,48,2.16666666666667,8.16666666666667,360,495,960,1380,60,180,23,1.4,1.5,4,3,1,2,21.21056558314,1,2,0,5,TRUE
"7468",1,"Ja",0,"Studium",,0.166666666666667,0.416666666666667,0,0.722222222222222,0.708333333333333,0.766666666666667,0.638888888888889,0.5,0.625,40,4,20,3,30,1,6,340,495,960,1380,60,120,45,8,0.4,4,2,1,1,24.1647672436806,1,5,0,28,TRUE
"7492",1,"Ja",0,"Angestellt",,0.375,0.583333333333333,0.5,0.666666666666667,0.541666666666667,0.933333333333333,0.722222222222222,0.5,0.4375,40,5,30,0,10,1.33333333333333,1.75,420,480,1080,1350,60,180,4,3,0.5,2,3,3,3,25.7883460988248,8,2,0,17,TRUE
